sqlite> select * from domain where sourceid=2 and id<2648365;
Id;Name;Level;sourceid;CategoryName;CatId;Cat2Id;Cat3Id;Invariance;Pcountry
2644942;vanityfair.com;2;2;News;21;;;5;
2644943;aol.com;2;2;News;21;;;5;
2644944;nbcnews.com;2;2;News;21;;;5;
2644945;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644946;onebyaol.com;2;2;Ads;11;;;5;
2644947;dyn.com;2;2;Computer;13;;;5;
2644948;s.w.org;3;2;Computer;13;;;5;
2644949;ancestrycdn.com;2;2;News;21;;;5;
2644950;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644951;wordpress.org;2;2;Computer;13;;;5;
2644952;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644953;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644954;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644955;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644956;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644957;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644958;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644959;gutefrage.net;2;2;Computer;13;;;5;
2644960;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644961;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644962;de.viamichelin.ch;3;2;Travel;29;;;5;
2644963;viamichelin.com;2;2;Weather;31;;;5;
2644964;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644965;ngs38a.digiteka.net;3;2;Sports;44;;;5;
2644966;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644967;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644968;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644969;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644970;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644971;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644972;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644973;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644974;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644975;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644976;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644977;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644978;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644979;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644980;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644981;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644982;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644983;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644984;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644985;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644986;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644987;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644988;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644989;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644990;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644991;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
